feature,importance
up_down_ratio,0.07999999999999999
up_std,0.07999999999999999
down_var,0.06999999999999999
up_mean,0.06999999999999999
iat_skew,0.06999999999999999
up_median,0.06999999999999999
down_mean,0.06499999999999999
down_std,0.059999999999999984
up_kurt,0.054999999999999986
up_skew,0.04999999999999999
up_var,0.04499999999999999
down_kurt,0.04499999999999999
iat_mad,0.039999999999999994
iat_median,0.039999999999999994
up_mad,0.034999999999999996
down_skew,0.034999999999999996
down_median,0.034999999999999996
iat_kurt,0.029999999999999992
down_mad,0.009999999999999998
up_max,0.009999999999999998
iat_mean,0.004999999999999999
down_min,0.0
iat_max,0.0
iat_min,0.0
iat_var,0.0
iat_std,0.0
down_max,0.0
up_min,0.0
pkt_rate,0.0
